index,prediction
116151,1000.0 gram
116152,600.0 pound
116153,600.0 pound
116154,750.0 millilitre
116155,4.0 pound
116156,0.26 kilogram
116157,90.0 milligram
116158,22.0 pound
116159,271.0 gram
116160,350.0 watt
116161,350.0 gram
116162,1.0 gram
116163,137.0 pound
116164,42.0 milligram
116165,7.0 gram
116166,2.94 inch
116167,12.0 volt
116168,17.5 fluid ounce
116169,12.0 watt
116170,12.0 volt
116171,600.0 gram
116172,63.93 pound
116173,63.93 pound
116174,4.0 watt
116175,2.5 pound
116176,24.0 pound
116177,300.0 pound
116178,300.0 pound
116179,15.0 watt
116180,100.0 millilitre
116181,3.0 fluid ounce
116182,2.0 ton
116183,2.0 ton
116184,3.4 fluid ounce
116185,118.0 gram
116186,118.0 watt
116187,30.0 watt
116188,30.0 gram
116189,100.0 watt
116190,60.0 watt
116191,14.0 pound
116192,3.5 gram
116193,13737.0 gram
116194,16.0 gram
116195,9.0 gram
116196,580.0 gram
116197,5.0 ton
116198,15.0 gram
116199,15.0 watt
116200,22.0 pound
116201,22.0 pound
116202,120.0 volt
116203,1.78 pound
116204,5.0 pound
116205,100.0 gram
116206,44.0 pound
116207,1.0 gram
116208,5.0 pound
116209,5.0 gram
116210,3.7 pound
116211,160.0 gram
116212,3.63 kilogram
116213,6.0 ton
116214,16.0 fluid ounce
116215,1050.0 watt
116216,1050.0 gram
116217,500.0 kilogram
116218,500.0 kilogram
116219,5.5 pound
116220,2.2 pound
116221,2.2 pound
116222,32.0 fluid ounce
116223,50.0 milligram
116224,1000.0 gram
116225,29.0 gram
116226,128.0 gram
116227,99.5 gram
116228,1.1 fluid ounce
116229,60.0 gram
116230,60.0 gram
116231,250.0 gram
116232,14.0 gram
116233,13.0 pound
116234,16.0 fluid ounce
116235,32.0 fluid ounce
116236,8000.0 gram
116237,8000.0 watt
116238,66.0 pound
116239,32.0 gram
116240,280.0 gram
116241,216.0 gram
116242,2.0 gram
116243,680.0 gram
116244,35.0 gram
116245,100.0 gram
116246,1.0 gram
116247,32.0 fluid ounce
116248,1290.0 gram
116249,454.0 gram
116250,16.0 gram
116251,102.0 millilitre
116252,5.0 pound
116253,135.0 volt
116254,252.0 gram
116255,3.3 pound
116256,12.0 ton
116257,12.0 gram
116258,108.0 gram
116259,6.8 fluid ounce
116260,2.75 pound
116261,8.5 fluid ounce
116262,13.0 pound
116263,98.0 gram
116264,137.0 pound
116265,300.0 pound
116266,25.4 ounce
116267,11.0 pound
116268,300 pound
116269,10.1 fluid ounce
116270,250.0 millilitre
116271,12.0 volt
116272,80.0 watt
116273,330.0 pound
116274,330.0 pound
116275,4.0 gram
116276,2.2 pound
116277,2.5 fluid ounce
116278,2.4 kilogram
116279,2.2 pound
116280,2.2 pound
116281,1.0 ton
116282,1.0 gram
116283,2.0 gram
116284,25.0 gram
116285,14.0 ton
116286,10.8 pound
116287,180.0 gram
116288,5.0 gram
116289,5.0 gram
116290,5.0 watt
116291,220.0 pound
116292,15.0 gram
116293,150.0 pound
116294,1.0 ton
116295,200.0 gram
116296,485.0 pound
116297,485 pound
116298,5000.0 pound
116299,51.2 gram
116300,400.0 pound
116301,16.0 ton
116302,16.0 ton
116303,42.0 milligram
116304,8.0 ton
116305,120.0 gram
116306,1.25 gram
116307,40.0 pound
116308,32.0 ounce
116309,50.0 gram
116310,8.0 fluid ounce
116311,17.0 fluid ounce
116312,300.0 pound
116313,300.0 pound
116314,2000.0 pound
116315,10.0 gram
116316,0.515 kilogram
116317,1760 pound
116318,3.5 pound
116319,32.0 gram
116320,100.0 pound
116321,16.0 ton
