index,prediction
25251,14.5 centimetre
25252,4.0 centimetre
25253,106.0 centimetre
25254,106.0 centimetre
25255,1100.0 watt
25256,3.6 volt
25257,179.0 millimetre
25258,252.0 millimetre
25259,37.0 centimetre
25260,11.5 centimetre
25261,11.5 centimetre
25262,3.14 inch
25263,15.7 inch
25264,136.0 centimetre
25265,19.0 inch
25266,72.0 inch
25267,10.0 centimetre
25268,100.0 centimetre
25269,101.0 centimetre
25270,40.0 centimetre
25271,130.0 centimetre
25272,10.0 centimetre
25273,10.0 centimetre
25274,8.0 watt
25275,8.0 ton
25276,16.5 inch
25277,35.0 centimetre
25278,47.4 millimetre
25279,120.0 watt
25280,120.0 gram
25281,120.0 volt
25282,7.4 centimetre
25283,7.4 centimetre
25284,4.2 inch
25285,4.2 inch
25286,30.0 centimetre
25287,30.0 centimetre
25288,30.0 centimetre
25289,14.0 centimetre
25290,115.0 centimetre
25291,30.0 centimetre
25292,5.5 inch
25293,250.0 millilitre
25294,30.0 volt
25295,30.0 volt
25296,30.0 volt
25297,17.0 inch
25298,150.0 millimetre
25299,7.0 centimetre
25300,7.0 centimetre
25301,4.0 inch
25302,4.0 inch
25303,9.0 inch
25304,9.0 inch
25305,104.0 centimetre
25306,60.0 centimetre
25307,250.0 centimetre
25308,192.0 centimetre
25309,21.0 centimetre
25310,21.0 centimetre
25311,8.0 inch
25312,1.73 inch
25313,5.5 centimetre
25314,9.8 inch
25315,9.8 inch
25316,9.8 inch
25317,6.0 ton
25318,13.5 centimetre
25319,7.5 centimetre
25320,810.0 millimetre
25321,490.0 millimetre
25322,8.5 centimetre
25323,7.75 inch
25324,55.0 millimetre
25325,55.0 millimetre
25326,45.0 millimetre
25327,4.37 inch
25328,31.0 centimetre
25329,31.0 centimetre
25330,70.9 inch
25331,3.8 inch
25332,5.3 inch
25333,5.0 volt
25334,120.0 volt
25335,143.0 millimetre
25336,143.0 millimetre
25337,5.0 inch
25338,5.0 inch
25339,30.0 centimetre
25340,21.0 centimetre
25341,50.0 centimetre
25342,12.5 centimetre
25343,3.7 volt
25344,80.0 centimetre
25345,18.0 centimetre
25346,90.0 centimetre
25347,26.0 gram
25348,14.56 inch
25349,500.0 pound
25350,500 pound
25351,91.0 millimetre
25352,53.5 inch
25353,59.3 centimetre
25354,200.0 centimetre
25355,200.0 centimetre
25356,3.0 centimetre
25357,14.5 centimetre
25358,5.19 inch
25359,12.0 inch
25360,12.0 inch
25361,2.5 centimetre
25362,40.5 centimetre
25363,14.0 inch
25364,42.5 inch
25365,17.0 inch
25366,82.0 centimetre
25367,9.0 millimetre
25368,7.5 centimetre
25369,15.0 centimetre
25370,19.0 centimetre
25371,13.0 centimetre
25372,13.0 centimetre
25373,6.3 millimetre
25374,15.94 inch
25375,5.0 volt
25376,3.85 volt
25377,12.0 ounce
25378,40.0 centimetre
25379,65.0 centimetre
25380,40.0 centimetre
25381,220.0 pound
25382,4.8 centimetre
25383,25.5 centimetre
25384,5.3 inch
25385,100.0 gram
25386,10.6 watt
25387,9.65 inch
25388,5.0 watt
25389,17.0 centimetre
25390,12.0 ounce
25391,7.6 centimetre
25392,30.0 centimetre
25393,176.0 centimetre
25394,10.2 centimetre
25395,4.5 centimetre
25396,21.0 centimetre
25397,8.3 centimetre
25398,180.0 centimetre
25399,180.0 centimetre
25400,70.0 millimetre
25401,70.0 millimetre
25402,58.0 centimetre
25403,25.4 centimetre
25404,1000.0 watt
25405,140.0 volt
25406,6.0 inch
25407,31.0 centimetre
25408,140.0 millimetre
25409,31.0 gram
25410,54.04 millimetre
25411,54.04 millimetre
25412,38.0 centimetre
25413,5.0 centimetre
25414,38.0 centimetre
25415,12.5 centimetre
25416,12.5 centimetre
25417,2.0 ton
25418,7.5 inch
25419,150.0 centimetre
25420,30.0 centimetre
25421,9.5 centimetre
25422,2.5 centimetre
25423,11.0 centimetre
25424,16.0 fluid ounce
25425,45.0 centimetre
25426,10.7 centimetre
25427,45.0 centimetre
25428,27.0 centimetre
25429,27.0 centimetre
25430,3.15 inch
25431,200 gram
25432,24.0 centimetre
25433,8.5 centimetre
25434,33.8 centimetre
25435,80.0 millimetre
25436,80.0 millimetre
25437,400.0 gram
25438,23.0 centimetre
25439,23.0 centimetre
25440,20.0 volt
25441,20.0 watt
25442,29.0 millimetre
25443,62.0 millimetre
25444,36.0 millimetre
25445,20.0 inch
25446,27.0 centimetre
25447,27.0 centimetre
25448,76.0 gram
25449,300.0 milligram
25450,72.0 inch
25451,72.0 inch
25452,20.0 watt
25453,20.0 volt
25454,132.0 pound
25455,6.0 inch
25456,4.1 centimetre
25457,3.8 centimetre
25458,285.0 millimetre
25459,148.0 centimetre
25460,100.0 centimetre
25461,110.0 centimetre
25462,130.0 centimetre
25463,130.0 centimetre
25464,700.0 pound
25465,38.0 centimetre
25466,400 pound
25467,20.0 pound
25468,30.5 centimetre
25469,30.5 centimetre
25470,120.0 centimetre
25471,120.0 centimetre
25472,120.0 centimetre
25473,5.9 inch
25474,5.9 inch
25475,17.5 centimetre
25476,7.9 inch
25477,14.0 centimetre
25478,14.0 centimetre
25479,14.0 centimetre
25480,101.0 millimetre
25481,23.0 centimetre
25482,23.0 centimetre
25483,23.0 centimetre
25484,15.5 inch
25485,16.0 inch
25486,10.0 centimetre
25487,13.0 centimetre
25488,8.25 inch
25489,8.25 inch
25490,12.0 volt
25491,120.0 volt
25492,59.0 centimetre
25493,1.0 fluid ounce
25494,5.0 centimetre
25495,5.0 centimetre
25496,20.8 kilogram
25497,4.0 inch
25498,60.0 centimetre
25499,8.5 inch
25500,100.0 gram
25501,50.0 millimetre
25502,50.0 millimetre
25503,12.0 centimetre
25504,40.0 centimetre
25505,13.0 inch
25506,13.0 inch
25507,13.0 inch
25508,3.5 inch
25509,8.0 centimetre
25510,12.8 centimetre
25511,2.4 inch
25512,2.4 inch
25513,160.0 centimetre
25514,72.0 centimetre
25515,100.0 centimetre
25516,9.0 centimetre
25517,9.0 centimetre
25518,1.0 metre
25519,2.0 metre
25520,34.0 centimetre
25521,13.0 centimetre
25522,29.0 centimetre
25523,33.0 centimetre
25524,29.0 centimetre
25525,23.0 centimetre
25526,3.0 centimetre
25527,19.68 inch
25528,15.75 inch
25529,6.2 centimetre
25530,6.3 inch
25531,5.9 inch
25532,25.0 centimetre
25533,12.8 centimetre
25534,60.0 centimetre
25535,97.0 millimetre
25536,35.0 millimetre
25537,97.0 millimetre
25538,35.0 centimetre
25539,4.3 centimetre
25540,2.5 ounce
25541,19.0 centimetre
25542,50.0 centimetre
25543,50.0 centimetre
25544,30.0 centimetre
25545,55.0 centimetre
25546,135.0 millimetre
25547,3.8 centimetre
25548,28.5 centimetre
25549,20.0 inch
25550,60.0 centimetre
25551,20.5 centimetre
25552,29.0 inch
25553,14.0 inch
25554,10.0 inch
25555,10.0 inch
25556,14.0 centimetre
25557,14.0 centimetre
25558,4.4 inch
25559,11.3 centimetre
25560,12.2 centimetre
25561,11.0 centimetre
25562,12.2 centimetre
25563,10 kilogram
25564,17.5 centimetre
25565,11.5 centimetre
25566,35.0 centimetre
25567,180.0 millimetre
25568,35.0 centimetre
25569,10.6 inch
25570,10.6 inch
25571,30.0 millimetre
25572,800 pound
25573,22.5 centimetre
25574,9.0 inch
25575,22.5 centimetre
25576,60.0 gram
25577,60.0 watt
25578,17.0 inch
25579,17.0 inch
25580,10.6 inch
25581,10.6 inch
25582,5.6 inch
25583,7.0 centimetre
25584,7.0 centimetre
25585,120.0 centimetre
