index,prediction
40401,25.0 centimetre
40402,25.0 centimetre
40403,25.0 centimetre
40404,50 gram
40405,5.9 inch
40406,10.3 inch
40407,82.5 centimetre
40408,170.0 centimetre
40409,82.5 centimetre
40410,10.1 inch
40411,36.0 centimetre
40412,36.0 centimetre
40413,13.5 centimetre
40414,13.5 centimetre
40415,30.0 centimetre
40416,31.0 inch
40417,20.0 pound
40418,3.1 centimetre
40419,100.0 centimetre
40420,179 gram
40421,71.0 centimetre
40422,7.48 inch
40423,12.0 volt
40424,5.4 watt
40425,17.5 pound
40426,5.0 inch
40427,5.0 inch
40428,114.5 inch
40429,100.0 centimetre
40430,52.0 millimetre
40431,52.0 millimetre
40432,2.7 pound
40433,14.0 centimetre
40434,14.0 centimetre
40435,20.0 volt
40436,20.0 kilowatt hour
40437,26.0 inch
40438,20.0 inch
40439,26.0 inch
40440,374.0 gram
40441,23.6 inch
40442,12.0 inch
40443,4.1 pound
40444,34.0 inch
40445,29.0 inch
40446,105.0 millimetre
40447,60.0 millimetre
40448,130.0 millimetre
40449,7.08 inch
40450,355.0 millilitre
40451,165.0 millimetre
40452,30.5 centimetre
40453,14.5 kilogram
40454,4.0 inch
40455,12.0 millimetre
40456,2.0 inch
40457,5.0 centimetre
40458,77.0 millimetre
40459,80.0 millimetre
40460,4.6 inch
40461,140.0 square foot
40462,140.0 volt
40463,140.0 gram
40464,21.5 centimetre
40465,22.5 centimetre
40466,23.0 centimetre
40467,10.0 inch
40468,450.0 millimetre
40469,450.0 millimetre
40470,7.4 centimetre
40471,38.0 centimetre
40472,52.0 centimetre
40473,9.0 centimetre
40474,11.5 centimetre
40475,14.5 centimetre
40476,14.5 centimetre
40477,22.0 centimetre
40478,27.5 millimetre
40479,660.0 pound
40480,11.5 inch
40481,11.5 inch
40482,11.5 inch
40483,200.0 millimetre
40484,11.0 centimetre
40485,50.0 millilitre
40486,1.7 centimetre
40487,11.0 centimetre
40488,29.0 gram
40489,11.5 gram
40490,5.7 inch
40491,135.0 centimetre
40492,10.0 centimetre
40493,10.0 centimetre
40494,40.0 centimetre
40495,40.0 centimetre
40496,340.0 gram
40497,"[2.0, 7.0] pound"
40498,145.0 millimetre
40499,13.5 centimetre
40500,8.3 inch
40501,8.3 inch
40502,16.0 centimetre
40503,30.0 inch
40504,30.0 inch
40505,30.0 inch
40506,150.0 centimetre
40507,150.0 centimetre
40508,14.0 centimetre
40509,10.6 inch
40510,14.5 inch
40511,18.0 inch
40512,18.0 inch
40513,12.0 inch
40514,5.0 inch
40515,5.0 inch
40516,55.0 millimetre
40517,3.5 inch
40518,5.0 inch
40519,32.5 inch
40520,11.0 centimetre
40521,21.0 volt
40522,31.0 inch
40523,55.0 inch
40524,75.0 centimetre
40525,12.9 inch
40526,5.5 inch
40527,2.9 inch
40528,2.3 inch
40529,2.3 inch
40530,29.0 inch
40531,9.0 gram
40532,120.0 millimetre
40533,75.0 centimetre
40534,10.0 centimetre
40535,48.5 centimetre
40536,14.0 centimetre
40537,9.3 centimetre
40538,2200.0 watt
40539,220.0 volt
40540,5.0 centimetre
40541,18.0 centimetre
40542,65.0 millimetre
40543,33.0 centimetre
40544,33.0 centimetre
40545,20.5 centimetre
40546,7.8 centimetre
40547,7.8 centimetre
40548,180.0 gram
40549,58.0 gram
40550,8.25 inch
40551,5.8 inch
40552,12.0 centimetre
40553,2.3 centimetre
40554,48.0 inch
40555,14.5 centimetre
40556,2.0 inch
40557,1200.0 watt
40558,4.1 inch
40559,3.2 inch
40560,126.0 centimetre
40561,1060.0 millimetre
40562,5.1 inch
40563,7.5 inch
40564,43.0 centimetre
40565,50.0 centimetre
40566,20.0 centimetre
40567,7.87 inch
40568,13.0 centimetre
40569,13.0 centimetre
40570,10.0 inch
40571,10.0 inch
40572,8.0 inch
40573,808.0 volt
40574,110.0 centimetre
40575,11.0 centimetre
40576,11.8 inch
40577,74.0 centimetre
40578,38.0 inch
40579,90.0 centimetre
40580,15.0 inch
40581,3.2 metre
40582,3.2 metre
40583,3.2 metre
40584,5.2 inch
40585,5.3 inch
40586,60.0 centimetre
40587,60.0 centimetre
40588,200.0 volt
40589,200.0 watt
40590,40.25 inch
40591,40.25 inch
40592,2.95 inch
40593,2.95 inch
40594,2.4 inch
40595,3.7 volt
40596,34.0 centimetre
40597,34.0 centimetre
40598,9.64 inch
40599,9.64 inch
40600,15.7 inch
40601,5.9 inch
40602,5.9 inch
40603,31.0 inch
40604,10.5 centimetre
40605,10.5 centimetre
40606,20.5 centimetre
40607,8.0 centimetre
40608,31.0 centimetre
40609,31.0 centimetre
40610,80.0 centimetre
40611,100.0 centimetre
40612,10.0 volt
40613,10.0 horsepower
40614,80.0 millimetre
40615,15.0 pound
40616,19.0 centimetre
40617,4.3 inch
40618,25.6 centimetre
40619,96.0 centimetre
40620,100.0 centimetre
40621,100.0 millimetre
40622,100.0 centimetre
40623,27.0 inch
40624,88.0 centimetre
40625,6.0 inch
40626,4.1 inch
40627,6.0 inch
40628,7.0 gram
40629,7.0 ounce
40630,100.0 kilogram
40631,31.0 centimetre
40632,31.6 centimetre
40633,14.0 centimetre
40634,150.0 centimetre
40635,90.0 centimetre
40636,20.0 kilogram
40637,0.5 inch
40638,15.0 centimetre
40639,6.0 inch
40640,28.0 centimetre
40641,260.0 millimetre
40642,14.4 inch
40643,30.0 centimetre
40644,30.0 centimetre
40645,10.5 centimetre
40646,83.0 gram
40647,24.0 inch
40648,25.25 inch
40649,215.0 millimetre
40650,115.0 millimetre
40651,1080.0 gram
40652,18.0 watt
40653,180.0 volt
40654,12.0 fluid ounce
40655,6.0 milligram
40656,15.7 gram
40657,47.0 gram
40658,24.0 inch
40659,42.0 centimetre
40660,14.5 inch
40661,80.0 inch
40662,75.0 centimetre
40663,1.36 kilogram
40664,1500.0 watt
40665,120.0 volt
40666,280.0 millimetre
40667,280.0 millimetre
40668,4.9 inch
40669,4.9 inch
40670,8.5 inch
40671,12 kilogram
40672,46.0 pound
40673,172.0 millimetre
40674,400 pound
40675,10.0 gram
40676,140.0 centimetre
40677,14.0 centimetre
40678,140.0 centimetre
40679,15.3 inch
40680,15.3 inch
40681,15.5 centimetre
40682,8.0 centimetre
40683,8.5 centimetre
40684,10.0 centimetre
40685,17.0 centimetre
40686,99.0 centimetre
40687,41.0 centimetre
40688,32.0 inch
40689,125.0 millimetre
40690,125.0 millimetre
40691,200.0 centimetre
40692,200.0 centimetre
40693,9.0 centimetre
40694,6.0 centimetre
40695,4.0 centimetre
40696,4.0 centimetre
40697,12.0 centimetre
40698,6.0 centimetre
40699,13.5 centimetre
40700,2.0 centimetre
40701,11.0 centimetre
40702,450.0 centimetre
40703,50.0 gram
40704,11.0 centimetre
40705,8.0 centimetre
40706,11.5 centimetre
40707,12.9 inch
40708,9.84 inch
40709,30.0 centimetre
40710,161.0 centimetre
40711,93.0 centimetre
40712,93.0 centimetre
40713,14.67 centimetre
40714,50.0 gram
40715,10.4 inch
40716,3.0 inch
40717,9.5 centimetre
40718,216.0 gram
40719,18.5 centimetre
40720,1.85 centimetre
40721,5.0 centimetre
40722,27.0 centimetre
40723,150.0 millimetre
40724,46.0 millimetre
40725,1.0 volt
40726,4.3 pound
40727,10.4 inch
40728,100.0 millimetre
40729,11.0 centimetre
40730,10.0 centimetre
40731,27.0 gram
40732,11.3 centimetre
40733,11.3 centimetre
40734,16.0 ounce
40735,7.2 foot
40736,4.0 foot
40737,37.4 centimetre
40738,10.0 centimetre
40739,50.0 centimetre
40740,170.0 millimetre
40741,1000.0 watt
40742,12.0 volt
40743,61.0 centimetre
40744,1080.0 gram
40745,0.5 fluid ounce
40746,20.0 inch
40747,90.0 centimetre
40748,22.0 millimetre
40749,2.0 centimetre
40750,14.2 centimetre
40751,10.0 centimetre
40752,10.0 centimetre
40753,33.0 centimetre
40754,30.0 centimetre
40755,30.0 centimetre
40756,33.5 inch
40757,33.1 inch
40758,74.8 inch
40759,2.76 inch
40760,8.27 inch
40761,180.0 centimetre
40762,245.8 millimetre
40763,42.0 inch
40764,16.0 foot
40765,16.0 foot
40766,26.0 centimetre
40767,7.0 centimetre
40768,3.93 inch
40769,3.93 inch
40770,12.5 centimetre
