index,prediction
5051,160.0 gram
5052,265 pound
5053,2.0 pound
5054,2.0 pound
5055,16.7 centimetre
5056,40.0 centimetre
5057,40.0 centimetre
5058,40.0 centimetre
5059,3.8 centimetre
5060,10.0 centimetre
5061,225.0 gram
5062,34.3 centimetre
5063,34.3 centimetre
5064,34.3 centimetre
5065,55.0 inch
5066,1080.0 horsepower
5067,1080.0 volt
5068,220.0 volt
5069,750.0 watt
5070,750.0 gram
5071,18.0 centimetre
5072,18.0 centimetre
5073,10.0 centimetre
5074,100 kilogram
5075,220.0 volt
5076,220.0 volt
5077,500.0 gram
5078,7.2 inch
5079,10.5 centimetre
5080,64.0 gram
5081,185.0 gram
5082,5.5 centimetre
5083,5.5 centimetre
5084,6.0 kilogram
5085,220.0 volt
5086,200.0 watt
5087,5.0 volt
5088,33.0 inch
5089,9.8 inch
5090,537.0 volt
5091,8.0 centimetre
5092,8.0 centimetre
5093,45.0 centimetre
5094,10.0 centimetre
5095,280.0 millimetre
5096,13.0 centimetre
5097,14.5 gram
5098,7.5 centimetre
5099,13.0 inch
5100,6.0 centimetre
5101,13.5 centimetre
5102,13.5 centimetre
5103,12.0 volt
5104,0.55 pound
5105,75.0 millimetre
5106,17.0 millimetre
5107,64.0 millimetre
5108,150 kilogram
5109,11.0 centimetre
5110,15.0 centimetre
5111,8.3 centimetre
5112,120.0 volt
5113,43.0 watt
5114,43.9 gram
5115,9.0 centimetre
5116,8.5 centimetre
5117,10.0 gram
5118,3.7 volt
5119,10.0 watt
5120,16.0 centimetre
5121,50 kilogram
5122,78.5 centimetre
5123,20.0 centimetre
5124,20.0 centimetre
5125,40.0 centimetre
5126,40.0 centimetre
5127,14.2 gram
5128,60.0 gram
5129,120.0 volt
5130,4.63 pound
5131,4.6333333333333 watt
5132,6.3 inch
5133,7.1 inch
5134,215.0 centimetre
5135,1.7 inch
5136,1.8 inch
5137,320.0 millimetre
5138,16.7 centimetre
5139,9.5 centimetre
5140,106.0 centimetre
5141,92.0 centimetre
5142,19.6 inch
5143,18.0 volt
5144,18.0 volt
5145,22.0 pound
5146,4.75 inch
5147,5.0 inch
5148,200.0 gram
5149,56.0 kilogram
5150,7.0 centimetre
5151,7.0 centimetre
5152,1.6 pound
5153,400.0 volt
5154,400.0 watt
5155,375.0 gram
5156,48.0 centimetre
5157,240.0 volt
5158,20.0 volt
5159,80.0 centimetre
5160,190.5 centimetre
5161,166.0 centimetre
5162,166.0 centimetre
5163,300.0 pound
5164,230.0 centimetre
5165,6.7 inch
5166,9.0 centimetre
5167,6.7 inch
5168,20.6 centimetre
