index,prediction
10101,45.0 centimetre
10102,52.0 centimetre
10103,"[110.0, 130.0] volt"
10104,1.35 kilogram
10105,330.0 pound
10106,10.0 volt
10107,90.0 pound
10108,11.0 watt
10109,5.0 volt
10110,9.4 inch
10111,206.1 pound
10112,10.63 inch
10113,80.0 gram
10114,150.0 volt
10115,150.0 watt
10116,220.0 pound
10117,110.0 volt
10118,800.0 watt
10119,140.0 millimetre
10120,51.0 inch
10121,16.5 inch
10122,16.5 inch
10123,330.0 pound
10124,60.0 pound
10125,454 gram
10126,340 gram
10127,30.0 volt
10128,150.0 pound
10129,9.0 inch
10130,15.5 centimetre
10131,10.0 centimetre
10132,90.0 centimetre
10133,3.58 inch
10134,5.78 inch
10135,5.78 inch
10136,18 gram
10137,269 pound
10138,200.0 gram
10139,5.0 volt
10140,16.0 millimetre
10141,16.0 millimetre
10142,1200.0 milligram
10143,3.7 volt
10144,23.0 inch
10145,20.0 centimetre
10146,30.0 centimetre
10147,220.0 gram
10148,1000.0 watt
10149,220.0 volt
10150,354.0 millimetre
10151,279.0 millimetre
10152,5.0 gram
10153,5.0 watt
10154,1.33 pound
10155,300.0 millimetre
10156,300.0 millimetre
10157,5.0 volt
10158,180.0 centimetre
10159,80.0 centimetre
10160,310.0 millimetre
10161,310.0 millimetre
10162,300.0 millimetre
10163,16.0 fluid ounce
10164,47.5 centimetre
10165,164.0 millimetre
10166,3.7 kilogram
10167,3.7 kilowatt
10168,604.0 volt
10169,5.0 volt
10170,16.0 centimetre
10171,4.0 centimetre
10172,36.0 centimetre
10173,6.4 inch
10174,6.4 inch
10175,15.0 centimetre
10176,15.0 centimetre
10177,20.0 centimetre
10178,300 gram
10179,10.0 inch
10180,6.0 gram
10181,255.0 millimetre
10182,3.0 inch
10183,3.0 inch
10184,52.0 centimetre
10185,66.0 gram
10186,7.8 centimetre
10187,338.0 gram
10188,180.0 volt
10189,180.0 watt
10190,22.0 centimetre
10191,22.0 centimetre
10192,22.0 centimetre
10193,1.2 inch
10194,11.5 centimetre
10195,50.0 watt
10196,50.0 watt
10197,50.0 volt
10198,19.6 inch
10199,19.6 inch
10200,19.6 inch
10201,86.0 centimetre
10202,44.0 centimetre
10203,250.0 pound
10204,9.4 inch
10205,4.1 inch
10206,50.0 centimetre
10207,50.0 centimetre
10208,1.0 horsepower
10209,110.0 volt
10210,340.0 gram
10211,30.0 volt
10212,3.0 watt
10213,7.0 centimetre
10214,100.0 gram
10215,72.0 centimetre
10216,14.3 centimetre
10217,14.3 centimetre
10218,150 kilogram
10219,40.0 gram
10220,24.0 volt
10221,240.0 volt
10222,200.0 gram
10223,27.0 gram
10224,2.0 kilowatt
10225,8.4 kilogram
10226,110.0 volt
10227,3.0 gram
10228,230573.0 gram
10229,10.0 centimetre
10230,10.0 centimetre
10231,1200.0 watt
10232,212.0 volt
10233,10.0 gram
10234,5.0 volt
10235,44.0 pound
10236,12.0 centimetre
10237,7.0 centimetre
10238,7.0 centimetre
10239,7.0 centimetre
10240,50.0 centimetre
10241,35.03 inch
10242,19.0 centimetre
10243,500.0 millilitre
10244,100.0 centimetre
10245,100.0 centimetre
10246,180.0 pound
10247,11.06 inch
10248,36.0 inch
10249,31.0 gram
10250,183.0 centimetre
10251,6.0 watt
10252,220.0 volt
10253,1500.0 gram
10254,235.0 gram
10255,10.5 centimetre
10256,14.8 centimetre
10257,47.0 centimetre
10258,47.0 centimetre
10259,222.0 gram
10260,45.0 centimetre
10261,4.5 centimetre
10262,18.0 volt
10263,16.0 watt
10264,17.0 centimetre
10265,14.0 centimetre
10266,500.0 watt
10267,500.0 volt
10268,190.0 millimetre
10269,190.0 millimetre
10270,140.0 gram
10271,15.7 inch
10272,15.7 inch
10273,35.5 inch
10274,35.5 inch
10275,120.0 gram
10276,7.5 centimetre
10277,3.0 inch
10278,2.0 inch
10279,5.0 centimetre
10280,1.7 centimetre
10281,300.0 pound
10282,82.0 centimetre
10283,25.0 gram
10284,85.0 gram
10285,1.75 fluid ounce
10286,65.0 centimetre
10287,3.0 inch
10288,3.0 inch
10289,5 gram
10290,3.4 kilogram
10291,100.0 gram
10292,150 kilogram
10293,49.0 ton
10294,3000.0 pound
10295,3.2 centimetre
10296,3.2 centimetre
10297,2.5 centimetre
10298,11.1 fluid ounce
10299,209.0 gram
10300,792.0 gram
10301,3.9 kilogram
10302,2.16 pound
10303,100.0 gram
10304,500.0 pound
10305,71.0 inch
10306,5.0 volt
10307,43.0 centimetre
10308,2007.0 gram
10309,13.0 inch
10310,680 gram
10311,16.0 fluid ounce
10312,10.0 ton
10313,13.2 centimetre
10314,12.0 centimetre
10315,12.0 fluid ounce
10316,70.0 centimetre
10317,70.0 centimetre
10318,70.0 centimetre
10319,38.0 watt
10320,3.69 gram
10321,12.0 volt
10322,3.3 volt
10323,9.4 inch
10324,20.8 inch
10325,12.6 centimetre
10326,12.6 centimetre
10327,7.8 centimetre
10328,8.5 centimetre
10329,13.0 centimetre
10330,5.3 centimetre
10331,10.0 centimetre
10332,11.0 fluid ounce
10333,89.0 centimetre
10334,114.0 centimetre
10335,60.0 centimetre
10336,300 kilogram
10337,300.0 kilogram
10338,570.9 gram
10339,850.0 gram
10340,30.0 centimetre
10341,30.0 centimetre
10342,30.0 centimetre
10343,596.0 millimetre
10344,24.5 centimetre
10345,17.5 millimetre
10346,14.0 centimetre
10347,12.0 centimetre
10348,14.0 centimetre
10349,44.75 inch
10350,355.0 pound
10351,52.0 inch
10352,40.0 centimetre
10353,40.0 millimetre
10354,40.0 millimetre
10355,40.0 centimetre
10356,0.75 inch
10357,0.75 inch
10358,1.0 gram
10359,240.0 volt
10360,12.8 centimetre
10361,17.0 centimetre
10362,15.7 inch
10363,15.5 centimetre
10364,15.5 centimetre
10365,85.0 millimetre
10366,85.0 millimetre
10367,100 gram
10368,2.0 pound
10369,60.0 gram
10370,11.7 centimetre
10371,5.0 pound
10372,80.0 centimetre
10373,74.0 millimetre
10374,7.3 centimetre
10375,10.0 centimetre
10376,17.2 ounce
10377,24.9 centimetre
10378,7.5 centimetre
10379,7.5 centimetre
10380,5.0 volt
10381,6.0 watt
10382,12.0 volt
10383,12.0 gram
10384,16.1 inch
10385,8.26 inch
10386,27.0 inch
10387,27.0 inch
10388,85.0 gram
10389,10.0 gram
10390,10.0 watt
10391,3.9 inch
10392,7.0 inch
10393,8.5 centimetre
10394,11.0 centimetre
10395,47.2 inch
10396,1.0 ton
10397,100.0 watt
10398,"[100.0, 240.0] volt"
10399,6.0 volt
10400,350.0 gram
10401,40.0 centimetre
10402,40.0 centimetre
10403,32.5 inch
10404,27.0 inch
10405,3.5 inch
10406,20.0 volt
10407,7.1 centimetre
10408,21.0 centimetre
10409,29.7 centimetre
10410,29.7 centimetre
10411,97.0 millimetre
10412,97.0 millimetre
10413,14.3 centimetre
10414,3.6 inch
10415,1500.0 millimetre
10416,1500.0 millimetre
10417,42.5 inch
10418,16.75 inch
10419,50.0 ton
10420,21.3 inch
10421,230.0 volt
10422,1000.0 watt
10423,110.0 millimetre
10424,390.0 millimetre
10425,"[36.0, 48.0] watt"
10426,"[110.0, 120.0] volt"
10427,"[36.0, 48.0] gram"
10428,350 pound
10429,60.0 pound
10430,10.23 inch
10431,10.23 inch
10432,13.0 centimetre
10433,5.0 centimetre
10434,40.1 inch
10435,6.0 centimetre
10436,15.8 inch
10437,120.0 centimetre
10438,50.0 watt
10439,5.0 volt
10440,13.8 gram
10441,6.0 centimetre
10442,27.0 centimetre
10443,5.0 volt
10444,144.0 centimetre
10445,3.94 inch
10446,"[110.0, 120.0] volt"
10447,36.0 gram
10448,66.0 watt
10449,20.0 pound
10450,10.0 gram
10451,35.5 centimetre
10452,7.0 centimetre
10453,29.5 centimetre
10454,93.0 millimetre
10455,93.0 millimetre
10456,18.0 fluid ounce
10457,49.0 centimetre
10458,25.0 centimetre
10459,49.0 centimetre
10460,25.0 centimetre
10461,24.0 inch
10462,24.0 inch
10463,3.0 centimetre
10464,150.0 centimetre
10465,5.0 volt
10466,6.5 inch
10467,10.0 inch
10468,3.0 inch
10469,7.0 centimetre
10470,7.0 centimetre
10471,19.7 inch
10472,6.7 inch
10473,12.0 volt
10474,80.0 centimetre
10475,24.0 centimetre
10476,24.0 centimetre
10477,80.0 centimetre
10478,11.52 centimetre
10479,500.0 gram
10480,170.0 millimetre
10481,16.1 ounce
10482,16.1 ounce
10483,13.5 centimetre
10484,6.7 inch
10485,2.7 inch
10486,160.0 centimetre
10487,160.0 centimetre
10488,12.0 pound
10489,240.0 volt
10490,100 gram
10491,226.0 gram
10492,17.8 centimetre
10493,5.5 inch
10494,5.5 inch
10495,25.0 centimetre
10496,25.0 centimetre
