index,prediction
70701,60.0 millimetre
70702,290.0 millimetre
70703,105.0 centimetre
70704,5.0 centimetre
70705,22.0 centimetre
70706,29.5 inch
70707,3.0 inch
70708,145.0 millimetre
70709,145.0 millimetre
70710,40.0 centimetre
70711,29.0 centimetre
70712,7.5 foot
70713,7.5 foot
70714,7.5 foot
70715,18.0 gram
70716,4.3 inch
70717,20.0 centimetre
70718,30.0 gram
70719,15.0 centimetre
70720,15.0 centimetre
70721,12.0 centimetre
70722,6.0 centimetre
70723,24.0 centimetre
70724,10.0 centimetre
70725,13.9 centimetre
70726,32.5 centimetre
70727,32.5 centimetre
70728,1600.0 watt
70729,18.0 volt
70730,18.0 gram
70731,4.5 centimetre
70732,48.2 inch
70733,10.0 ounce
70734,3.5 inch
70735,2.0 inch
70736,75.0 centimetre
70737,49.0 centimetre
70738,11.0 centimetre
70739,29.53 inch
70740,11.0 millimetre
70741,35.0 millimetre
70742,12.5 centimetre
70743,12.5 centimetre
70744,10.0 gram
70745,200.0 watt
70746,200.0 gram
70747,3.0 centimetre
70748,3.0 centimetre
70749,330 pound
70750,7.0 centimetre
70751,2.1 centimetre
70752,1.77 pound
70753,34.0 watt
70754,110.0 volt
70755,200.0 gram
70756,48.0 millimetre
70757,96.0 millimetre
70758,148.0 millimetre
70759,30.0 centimetre
70760,27.0 centimetre
70761,17.0 centimetre
70762,16.0 kilogram
70763,7.5 centimetre
70764,25.0 centimetre
70765,11.0 centimetre
70766,15.2 centimetre
70767,4.3 centimetre
70768,70.0 centimetre
70769,1500.0 watt
70770,18.0 volt
70771,12.3 inch
70772,12.3 inch
70773,4.0 centimetre
70774,123.0 centimetre
70775,123.0 centimetre
70776,1.4 inch
70777,5.31 inch
70778,5.31 inch
70779,22.0 centimetre
70780,22.0 centimetre
70781,1200.0 gram
70782,1200.0 volt
70783,1200.0 watt
70784,12.4 inch
70785,13.25 inch
70786,13.25 inch
70787,18.0 centimetre
70788,18.0 centimetre
70789,100.0 gram
70790,20.0 centimetre
70791,14.0 centimetre
70792,2.6 metre
70793,27.0 millimetre
70794,127.0 millimetre
70795,19.0 centimetre
70796,1.5 centimetre
70797,50.0 centimetre
70798,315.0 watt
70799,320.0 gram
70800,50.0 inch
70801,4.1 pound
70802,5.0 volt
70803,28.5 centimetre
70804,123.0 centimetre
70805,124.0 fluid ounce
70806,43.0 centimetre
70807,43.0 centimetre
70808,10.35 ounce
70809,160.0 centimetre
70810,18.0 inch
70811,20.0 millimetre
70812,20.0 millimetre
70813,30.0 millimetre
70814,11.0 centimetre
70815,11.0 centimetre
70816,3.0 ton
70817,150.0 pound
70818,11.5 centimetre
70819,30.0 centimetre
70820,36.0 centimetre
70821,180.0 centimetre
70822,180.0 centimetre
70823,10.0 gram
70824,7.0 inch
70825,7.0 inch
70826,908.0 gram
70827,15.0 centimetre
70828,101.0 centimetre
70829,11.4 centimetre
70830,11.4 centimetre
70831,1050.0 millimetre
70832,209.0 gram
70833,430.0 millimetre
70834,23.6 inch
70835,19.2 inch
70836,75.0 centimetre
70837,52.0 centimetre
70838,52.0 centimetre
70839,30.0 centimetre
70840,31.5 inch
70841,10.0 centimetre
70842,10.0 centimetre
70843,10.0 centimetre
70844,170.0 gram
70845,500 gram
70846,15.0 centimetre
70847,15.0 centimetre
70848,15.0 centimetre
70849,16.5 centimetre
70850,60.0 millimetre
70851,290.0 millimetre
70852,1100.0 gram
70853,1100.0 watt
70854,1200.0 volt
70855,11.0 kilogram
70856,8.5 centimetre
70857,5.0 inch
70858,5.0 inch
70859,3.3 inch
70860,29.0 centimetre
70861,42.0 centimetre
70862,3 ounce
70863,8.25 inch
70864,11.7 inch
70865,6.3 centimetre
70866,15.7 inch
70867,175.0 litre
70868,23.0 centimetre
70869,32.0 centimetre
70870,23.0 centimetre
70871,200.0 centimetre
70872,10.5 centimetre
70873,15.0 centimetre
70874,6.2 centimetre
70875,8.4 inch
70876,90.0 gram
70877,28.94 inch
70878,11.22 inch
70879,19.0 centimetre
70880,19.0 centimetre
70881,1.46 inch
70882,14.6 inch
70883,14.6 inch
70884,9.5 centimetre
70885,5.3 centimetre
70886,63.0 centimetre
70887,"[3.0, 5.0] ton"
70888,33.0 centimetre
70889,44.0 centimetre
70890,12.59 inch
70891,17.0 inch
70892,100.0 centimetre
70893,100.0 centimetre
70894,2.76 gram
70895,12.5 centimetre
70896,20.0 centimetre
70897,22.0 centimetre
70898,18.5 inch
70899,18.5 inch
70900,15.0 centimetre
70901,3.5 centimetre
70902,33.0 centimetre
70903,33.0 centimetre
70904,33.0 centimetre
70905,100 gram
70906,34.0 millimetre
70907,3.7 centimetre
70908,3.7 centimetre
70909,22.0 centimetre
70910,4.3 inch
70911,4.3 inch
70912,16.0 ounce
70913,9.0 inch
70914,75.0 millimetre
70915,125.0 millimetre
