index,prediction
60601,15.0 watt
60602,15.0 gram
60603,20.0 centimetre
60604,17.0 centimetre
60605,1.1 kilogram
60606,60.0 inch
60607,50.0 inch
60608,4.7 inch
60609,7.8 inch
60610,33.5 pound
60611,8.0 centimetre
60612,8.5 centimetre
60613,2.5 inch
60614,3.0 volt
60615,5.0 pound
60616,1.0 gram
60617,5.0 volt
60618,7.0 watt
60619,115.0 millimetre
60620,115.0 millimetre
60621,23.9 centimetre
60622,41.0 centimetre
60623,4.1 centimetre
60624,41.0 centimetre
60625,30.0 centimetre
60626,30.0 centimetre
60627,22.0 centimetre
60628,1.4 inch
60629,185.0 millimetre
60630,180.0 millimetre
60631,115.0 millimetre
60632,115.0 millimetre
60633,16.9 inch
60634,6.3 inch
60635,9.0 inch
60636,7.74 inch
60637,3.74 inch
60638,172.0 gram
60639,35.0 centimetre
60640,60.0 centimetre
60641,35.0 centimetre
60642,48.0 inch
60643,164.5 millimetre
60644,1.0 watt
60645,11.8 inch
60646,30.0 centimetre
60647,8.38 inch
60648,10.0 ounce
60649,11.8 inch
60650,11.8 inch
60651,140.0 centimetre
60652,8.6 centimetre
60653,100.0 millimetre
60654,83.0 millimetre
60655,83.0 millimetre
60656,226.0 gram
60657,5.0 centimetre
60658,22.5 centimetre
60659,250.0 watt
60660,15.0 centimetre
60661,15.0 centimetre
60662,15.0 centimetre
60663,6.5 centimetre
60664,6.5 centimetre
60665,14.0 centimetre
60666,14.0 centimetre
60667,6.9 inch
60668,30.0 centimetre
60669,30.0 centimetre
60670,30.0 centimetre
60671,1.97 inch
60672,60.0 millimetre
60673,320 gram
60674,120.0 centimetre
60675,17.0 centimetre
60676,1800.0 millimetre
60677,80.0 millimetre
60678,1.4 inch
60679,3.9 inch
60680,150.0 millimetre
60681,680.0 gram
60682,10.0 millimetre
60683,29.5 centimetre
60684,12.0 centimetre
60685,3.34 inch
60686,3.14 inch
60687,3.14 inch
60688,3.34 inch
60689,24.0 inch
60690,48.0 inch
60691,60.0 centimetre
60692,210.0 volt
60693,400.0 volt
60694,10.3 centimetre
60695,390.0 millimetre
60696,180.0 millimetre
60697,14.0 watt
60698,"[220.0, 240.0] volt"
60699,140.0 centimetre
60700,140.0 centimetre
60701,160.0 millimetre
60702,160.0 millimetre
60703,10.0 centimetre
60704,19.5 centimetre
60705,213.0 centimetre
60706,213.0 centimetre
60707,75.0 centimetre
60708,4.0 inch
60709,4.0 inch
60710,4.0 inch
60711,185.0 millimetre
60712,60.0 millimetre
60713,180.0 centimetre
60714,17.8 centimetre
60715,17.8 centimetre
60716,17.8 centimetre
60717,1.5 inch
60718,1.5 inch
60719,1.5 inch
60720,8.0 centimetre
60721,38.0 centimetre
60722,38.0 centimetre
60723,38.0 centimetre
60724,8.0 inch
60725,16.0 centimetre
60726,3.0 inch
60727,19.6 inch
60728,19.6 inch
60729,3.7 inch
60730,11.0 centimetre
60731,5.0 volt
60732,60.0 watt
60733,1.58 pound
60734,997.0 gram
60735,3.54 inch
60736,2.76 inch
60737,2.76 inch
60738,770.0 gram
60739,770.0 watt
60740,12.5 centimetre
60741,15.7 inch
60742,11.8 inch
60743,1.77 inch
60744,5.51 inch
60745,1.0 inch
60746,1.2 inch
60747,4.68 inch
60748,14.0 inch
60749,14.0 inch
60750,14.0 inch
60751,10.23 inch
60752,10.23 inch
60753,36.0 centimetre
60754,1.2 centimetre
60755,33.5 inch
60756,880.0 pound
60757,5.0 centimetre
60758,2.35 kilogram
60759,135.0 centimetre
60760,200.0 gram
60761,8.5 inch
60762,160.0 volt
60763,1360.0 watt
60764,15.0 centimetre
60765,26.0 centimetre
60766,26.0 centimetre
60767,39.0 centimetre
60768,80.0 inch
60769,80.0 inch
60770,45.7 centimetre
60771,45.7 centimetre
60772,40.0 millimetre
60773,90.0 centimetre
60774,90.0 centimetre
60775,90.0 centimetre
60776,65.0 centimetre
60777,65.0 centimetre
60778,2.0 centimetre
60779,2.0 centimetre
60780,40.0 centimetre
60781,40.0 centimetre
60782,5.1 inch
60783,5.0 centimetre
60784,1000.0 watt
60785,100.0 volt
60786,5.5 centimetre
60787,20.0 centimetre
60788,1.95 inch
60789,38.0 centimetre
60790,38.0 centimetre
60791,7.0 centimetre
60792,7.0 centimetre
60793,1.7 inch
60794,1.7 inch
60795,43.0 centimetre
60796,28.0 centimetre
60797,26.0 centimetre
60798,17.0 centimetre
60799,25.0 centimetre
60800,20.0 centimetre
60801,15.0 centimetre
60802,14.8 centimetre
60803,14.8 centimetre
60804,8.2 inch
60805,8.2 inch
60806,120.0 volt
60807,65.0 gram
60808,65.0 watt
60809,25.0 millimetre
60810,17.0 centimetre
60811,17.0 centimetre
60812,30.0 inch
60813,9.75 inch
60814,4.3 inch
60815,64.0 centimetre
60816,2.3 inch
60817,2.3 inch
60818,85.0 centimetre
60819,85.0 centimetre
60820,73.0 centimetre
60821,1.0 fluid ounce
60822,132.0 pound
60823,27.0 centimetre
60824,26.0 centimetre
60825,53.0 centimetre
60826,7.24 inch
60827,12.9 centimetre
60828,70.0 centimetre
60829,19.5 centimetre
60830,14.0 centimetre
60831,8.07 inch
60832,9.0 centimetre
60833,142.0 centimetre
60834,3.2 pound
60835,4.0 inch
60836,4.0 inch
60837,3.0 inch
60838,33.0 centimetre
60839,138.0 centimetre
60840,60.0 centimetre
60841,800.0 gram
60842,10.0 inch
60843,25.0 centimetre
60844,16.0 centimetre
60845,0.0 watt
60846,12.0 volt
60847,3.4 inch
60848,6.3 inch
60849,18.0 centimetre
60850,9.5 centimetre
60851,18.0 centimetre
60852,26.0 centimetre
60853,113 gram
60854,3.0 centimetre
60855,8.0 ounce
60856,3.0 centimetre
60857,10.63 inch
60858,70.0 millimetre
60859,70.0 millimetre
60860,21.7 inch
60861,30.6 centimetre
60862,22.0 centimetre
60863,30.0 centimetre
60864,100.0 gram
60865,165.0 millimetre
60866,228.0 millimetre
60867,100.0 gram
60868,9.4 inch
60869,55.0 inch
60870,4.0 inch
60871,10.6 inch
60872,1.8 inch
60873,265.0 millimetre
60874,600.0 millimetre
60875,5.0 centimetre
60876,5.0 centimetre
60877,82.5 centimetre
60878,129.0 centimetre
60879,5.0 volt
60880,32.0 inch
60881,113.0 gram
60882,38.5 centimetre
60883,4.92 inch
60884,150.0 millimetre
60885,150.0 millimetre
60886,17.0 pound
60887,60.0 centimetre
60888,99.0 gram
60889,47.0 inch
60890,23.0 inch
60891,422.0 millimetre
60892,10.0 centimetre
60893,227.0 gram
60894,830.0 millimetre
60895,830.0 millimetre
60896,15.76 inch
60897,4.3 inch
60898,15.76 inch
60899,8.0 centimetre
60900,15.0 centimetre
60901,225.0 gram
60902,2.59 inch
60903,3.46 inch
60904,27.0 ounce
60905,31.5 inch
60906,330.0 pound
60907,55.1 inch
60908,220.0 millimetre
60909,220.0 millimetre
60910,140.0 millimetre
60911,"[12.0, 24.0] volt"
60912,24.0 watt
60913,5.0 inch
60914,7.0 inch
60915,8.0 inch
60916,23.0 millimetre
60917,5.12 inch
60918,101.0 centimetre
60919,101.0 centimetre
60920,"[4.0, 35.0] pound"
60921,24.0 centimetre
60922,24.0 centimetre
60923,45.0 centimetre
60924,99.5 centimetre
60925,14.0 centimetre
60926,11.0 centimetre
60927,240.0 centimetre
60928,130.0 millimetre
60929,5.9 inch
60930,5.5 inch
60931,5.0 inch
60932,5.0 fluid ounce
60933,53.0 centimetre
60934,12.6 inch
60935,34.25 inch
60936,12.0 inch
60937,3.8 inch
60938,5.94 inch
60939,24.0 inch
60940,18.0 inch
60941,90.0 centimetre
60942,60.0 centimetre
60943,90.0 centimetre
60944,29.0 centimetre
60945,19.0 centimetre
60946,27.1 inch
60947,72.0 millimetre
60948,72.0 millimetre
60949,72.0 millimetre
60950,27.5 centimetre
60951,30.0 centimetre
60952,10.0 centimetre
60953,108.0 gram
60954,108.0 watt
60955,120.0 volt
60956,57.0 centimetre
60957,12.0 millimetre
60958,11.0 centimetre
60959,11.0 centimetre
60960,3.0 watt
60961,39.0 volt
60962,7.32 inch
60963,3.5 inch
60964,40.0 centimetre
60965,238.0 millimetre
60966,19.0 centimetre
60967,24.0 fluid ounce
60968,105.0 centimetre
60969,10.0 centimetre
60970,7.8 centimetre
