index,prediction
0,66.0 inch
1,16.5 inch
2,200.0 millimetre
3,200.0 millimetre
4,10.0 inch
5,10.0 inch
6,10.0 inch
7,157.1 centimetre
8,40.0 centimetre
9,15.0 centimetre
10,1.0 gram
11,139.5 centimetre
12,10.0 centimetre
13,4.3 inch
14,4.3 inch
15,100.0 gram
16,1000.0 gram
17,208.0 gram
18,208.0 volt
19,"[208.0, 240.0] volt"
20,120.0 centimetre
21,14.0 inch
22,1.7 fluid ounce
23,32.0 centimetre
24,85.0 centimetre
25,9.0 centimetre
26,9.0 centimetre
27,320.0 gram
28,9.5 kilogram
29,2.62 pound
30,100.0 gram
31,200.0 milligram
32,5.8 inch
33,5.8 inch
34,14.0 centimetre
35,3.0 pound
36,102.9 inch
37,120.0 volt
38,60.0 watt
39,120.0 centimetre
40,120.0 centimetre
41,9.0 inch
42,96.0 inch
43,48.0 inch
44,60.0 centimetre
45,5.8 inch
46,5.8 inch
47,5.8 inch
48,120.0 centimetre
49,120.0 centimetre
50,90.0 centimetre
51,200.0 milligram
52,200.0 milliwatt
53,12.5 centimetre
54,7.56 inch
55,96.52 centimetre
56,8.0 gram
57,47.2 inch
58,47.2 inch
59,14.0 watt
60,5.0 volt
61,220.0 gram
62,280.0 millimetre
63,280.0 millimetre
64,280.0 millimetre
65,3.7 volt
66,1.92 gram
67,112.3 centimetre
68,4.2 inch
69,4.2 inch
70,10.0 centimetre
71,9.1 inch
72,9.1 inch
73,23.0 centimetre
74,1500.0 watt
75,1.4 volt
76,4.7 inch
77,4.7 inch
78,240.0 gram
79,50.0 centimetre
80,250 gram
81,243.0 pound
82,11.1 pound
83,283.0 gram
84,39.0 inch
85,98.0 centimetre
86,98.0 centimetre
87,100.0 watt
88,120.0 volt
89,100.0 gram
90,60.0 centimetre
91,200.0 pound
92,400.0 millimetre
93,23.96 inch
94,150.0 gram
95,14.0 centimetre
96,14.0 centimetre
97,9.6 volt
98,3.8 centimetre
99,14.9 inch
100,94.0 centimetre
101,2.0 fluid ounce
102,3.0 watt
103,62.0 centimetre
104,69.0 centimetre
105,7.5 centimetre
106,16.0 centimetre
107,28.7 inch
108,277 gram
109,40.0 centimetre
110,8.0 centimetre
111,254.0 gram
112,650.0 watt
113,650.0 gram
114,500.0 gram
115,500.0 watt
116,30.0 gram
117,500.0 gram
118,10.0 centimetre
119,10.0 centimetre
120,100 gram
121,25.7 centimetre
122,250.0 gram
123,660 pound
124,2.5 pound
125,12.0 gram
126,12.0 volt
127,191.0 centimetre
128,180.0 centimetre
129,7.8 pound
130,40.0 centimetre
131,65.0 centimetre
132,65.0 centimetre
133,65.0 centimetre
134,50.0 pound
135,20.0 centimetre
136,20.0 centimetre
137,26.0 centimetre
138,29.95 centimetre
139,100.0 millimetre
140,100.0 millimetre
141,14.0 centimetre
142,82.0 inch
143,33.0 inch
144,90.0 centimetre
145,90.0 centimetre
146,10.0 centimetre
147,0.88 fluid ounce
148,50.0 centimetre
149,50.0 centimetre
150,104.0 gram
151,74.93 centimetre
152,3.14 inch
153,7.86 inch
154,10.0 centimetre
155,5.0 centimetre
156,50.0 millimetre
157,74.0 inch
158,30.3 inch
159,2.31 pound
160,13.0 centimetre
161,32.0 fluid ounce
162,82.0 centimetre
163,76.0 inch
164,250 gram
165,24.0 volt
166,24.0 watt
167,6.0 kilogram
168,5.0 centimetre
169,35.0 centimetre
170,100.0 gram
171,33.1 inch
172,31.0 ounce
173,1.1 inch
174,7.8 inch
175,14.0 centimetre
176,305.0 gram
177,23.8 inch
178,20.0 pound
179,5.9 inch
