index,prediction
65651,305.0 centimetre
65652,250.0 centimetre
65653,90.0 centimetre
65654,25.0 centimetre
65655,15.0 gram
65656,96.0 millimetre
65657,96.0 millimetre
65658,34.0 centimetre
65659,34.0 centimetre
65660,15.5 centimetre
65661,15.5 centimetre
65662,42.8 millimetre
65663,42.8 millimetre
65664,45.2 centimetre
65665,1.2 volt
65666,13.0 centimetre
65667,7.5 centimetre
65668,43.0 millimetre
65669,18.0 inch
65670,22.0 inch
65671,11.8 centimetre
65672,8.8 centimetre
65673,11.5 centimetre
65674,20.0 millimetre
65675,14.2 inch
65676,36.0 centimetre
65677,36.0 centimetre
65678,9.1 inch
65679,240.0 millilitre
65680,74.0 centimetre
65681,120.0 gram
65682,89.0 centimetre
65683,274.0 centimetre
65684,34.0 watt
65685,110.0 volt
65686,600.0 millimetre
65687,5.9 pound
65688,30.0 centimetre
65689,227.0 gram
65690,16.9 fluid ounce
65691,9.5 centimetre
65692,9.5 centimetre
65693,7.87 inch
65694,7.87 inch
65695,2.76 inch
65696,15.0 centimetre
65697,40.0 centimetre
65698,34.7 centimetre
65699,34.7 centimetre
65700,31.0 centimetre
65701,10.5 inch
65702,39.37 inch
65703,39.37 inch
65704,50.0 centimetre
65705,11.5 centimetre
65706,10.0 inch
65707,196 gram
65708,18.0 centimetre
65709,4.69 inch
65710,4.69 inch
65711,75 pound
65712,42.0 ounce
65713,53.0 centimetre
65714,32.0 millimetre
65715,32.0 millimetre
65716,88.9 centimetre
65717,85.0 millimetre
65718,3.8 centimetre
65719,12.0 centimetre
65720,200.0 kilowatt hour
65721,220.0 volt
65722,72.0 centimetre
65723,15.0 centimetre
65724,13.5 centimetre
65725,6.5 centimetre
65726,3.5 pound
65727,6.3 centimetre
65728,43.0 inch
65729,10.0 centimetre
65730,7.0 centimetre
65731,24.0 inch
65732,24.0 inch
65733,1.18 inch
65734,2.79 inch
65735,15.07 inch
65736,19.3 inch
65737,50.0 centimetre
65738,50.0 centimetre
65739,15.0 centimetre
65740,15.0 centimetre
65741,15.0 centimetre
65742,8.1 inch
65743,8.5 inch
65744,8.5 inch
65745,8.5 inch
65746,70.0 centimetre
65747,70.0 centimetre
65748,6.3 inch
65749,7.7 centimetre
65750,12.0 centimetre
65751,12.0 centimetre
65752,10.5 centimetre
65753,10.5 centimetre
65754,40.0 centimetre
65755,40.0 centimetre
65756,100 gram
65757,245.0 gram
65758,44.0 pound
65759,100.0 centimetre
65760,2.5 inch
65761,15.0 centimetre
65762,15.0 centimetre
65763,4.5 inch
65764,27.0 centimetre
65765,27.0 centimetre
65766,2.16 inch
65767,2.16 inch
65768,29.0 centimetre
65769,29.0 centimetre
65770,17.0 centimetre
65771,17.0 centimetre
65772,33.0 centimetre
65773,78.0 millimetre
65774,6.8 centimetre
65775,7.86 inch
65776,1230.0 millimetre
65777,17.2 inch
65778,50.0 centimetre
65779,50.0 centimetre
65780,15.0 centimetre
65781,14.0 centimetre
65782,22.0 centimetre
65783,100.0 gram
65784,83.0 centimetre
65785,83.0 centimetre
65786,25 pound
65787,26.0 centimetre
65788,18.0 centimetre
65789,18.0 centimetre
65790,2.0 inch
65791,2.0 inch
65792,80.0 centimetre
65793,24.0 inch
65794,24.0 inch
