index,prediction
50501,33.0 centimetre
50502,33.0 centimetre
50503,29.0 inch
50504,42.0 centimetre
50505,42.0 centimetre
50506,7.0 centimetre
50507,6.0 centimetre
50508,20.0 centimetre
50509,20.0 centimetre
50510,8.5 inch
50511,8.5 inch
50512,12.0 ounce
50513,8.0 centimetre
50514,20.0 centimetre
50515,12.0 inch
50516,210.0 millimetre
50517,225.0 millimetre
50518,25.5 centimetre
50519,5.0 volt
50520,5.0 foot
50521,3.0 foot
50522,62.0 centimetre
50523,16.0 gram
50524,1250.0 watt
50525,140.0 volt
50526,7.8 inch
50527,10.2 inch
50528,62.5 centimetre
50529,97.5 centimetre
50530,90.0 centimetre
50531,90.0 centimetre
50532,90.0 centimetre
50533,182.0 centimetre
50534,178.0 centimetre
50535,42.1 centimetre
50536,15.0 centimetre
50537,15.0 centimetre
50538,1.69 ounce
50539,30.0 centimetre
50540,30.0 centimetre
50541,30.0 centimetre
50542,100.0 centimetre
50543,11.5 centimetre
50544,2.4 inch
50545,130.0 millimetre
50546,130.0 millimetre
50547,400.0 pound
50548,25.0 centimetre
50549,6.0 centimetre
50550,240.0 volt
50551,13.0 watt
50552,47.0 centimetre
50553,9.0 ounce
50554,13.0 centimetre
50555,14.0 centimetre
50556,2.2 inch
50557,17.0 centimetre
50558,7.0 centimetre
50559,1800.0 pound
50560,35 pound
50561,74.0 centimetre
50562,26.0 centimetre
50563,7.6 inch
50564,8.0 centimetre
50565,7.0 centimetre
50566,15.0 centimetre
50567,15.0 centimetre
50568,11.22 inch
50569,3.54 inch
50570,15.0 pound
50571,13.0 centimetre
50572,70.0 millimetre
50573,70.0 millimetre
50574,140.0 centimetre
50575,140.0 centimetre
50576,30.0 centimetre
50577,40.0 centimetre
50578,125.0 millimetre
50579,125.0 millimetre
50580,250 gram
50581,20.0 millimetre
50582,20.0 millimetre
50583,20.0 millimetre
50584,49.0 centimetre
50585,49.0 centimetre
50586,180.0 millimetre
50587,180.0 millimetre
50588,45.0 centimetre
50589,19.0 centimetre
50590,8.5 centimetre
50591,800.0 watt
50592,800.0 volt
50593,43.0 inch
50594,125.0 millimetre
50595,125.0 millimetre
50596,6.35 ounce
50597,15.0 centimetre
50598,15.0 inch
50599,15.0 centimetre
50600,816.0 gram
50601,20.0 centimetre
50602,11.5 centimetre
50603,30.0 centimetre
50604,50.0 centimetre
50605,83.0 centimetre
50606,10.0 inch
50607,28.0 inch
50608,11.0 centimetre
50609,34.0 centimetre
50610,34.0 centimetre
50611,350.0 gram
50612,80.0 centimetre
50613,80.0 centimetre
50614,300.0 pound
50615,450.0 millimetre
50616,450.0 metre
50617,5.0 millimetre
50618,52.0 inch
50619,12.5 inch
50620,42.0 inch
50621,18.0 centimetre
50622,8.8 centimetre
50623,89.0 millimetre
50624,17.5 centimetre
50625,29.5 centimetre
50626,29.5 centimetre
50627,118.0 millimetre
50628,118.0 millimetre
50629,23.0 centimetre
50630,154.0 millilitre
50631,2.36 inch
50632,1.5 volt
50633,31.0 centimetre
50634,6.0 centimetre
50635,8.9 inch
50636,14.8 centimetre
50637,14.8 centimetre
50638,14.8 centimetre
50639,5.5 centimetre
50640,180.0 centimetre
50641,180.0 centimetre
50642,180.0 centimetre
50643,150.0 centimetre
50644,220.0 pound
50645,140.0 millimetre
50646,140.0 millimetre
50647,30.5 centimetre
50648,55.0 millimetre
50649,9.0 centimetre
50650,28.0 centimetre
50651,7.5 centimetre
50652,7.5 centimetre
50653,17.5 inch
50654,4.33 inch
50655,4.33 inch
50656,10.5 centimetre
50657,700.0 millimetre
50658,1.5 inch
50659,100.1 millimetre
50660,7.0 pound
50661,33.0 inch
50662,101.5 inch
50663,32.0 centimetre
50664,2.0 centimetre
50665,25.5 inch
50666,70.47 inch
50667,190.0 millimetre
50668,142.0 centimetre
50669,55.0 inch
50670,70.0 centimetre
50671,90.0 centimetre
50672,8.5 centimetre
50673,155.0 millimetre
50674,155.0 millimetre
50675,155.0 millimetre
50676,1700.0 volt
50677,1700.0 watt
50678,8.5 centimetre
50679,14.2 inch
50680,110.0 volt
50681,5.1 inch
50682,4.0 gram
50683,1.18 inch
50684,10.0 millimetre
50685,5.0 centimetre
50686,5.0 centimetre
50687,7.0 centimetre
50688,14.0 centimetre
50689,200.0 pound
50690,296.0 millimetre
50691,17.0 centimetre
50692,3.0 watt
50693,3.0 gram
50694,3.0 volt
50695,110.0 millimetre
50696,46.0 centimetre
50697,13.0 inch
50698,30.0 inch
50699,71.5 centimetre
50700,90.0 centimetre
50701,50.0 centimetre
50702,50.0 centimetre
50703,50.0 centimetre
50704,9.0 centimetre
50705,9.0 centimetre
50706,34.0 inch
50707,30.0 inch
50708,31.5 inch
50709,21.5 centimetre
50710,12.0 centimetre
50711,6.0 centimetre
50712,6.0 centimetre
50713,80.0 centimetre
50714,14.0 centimetre
50715,14.0 centimetre
50716,14.0 centimetre
50717,7.0 centimetre
50718,30.0 centimetre
50719,10.0 centimetre
50720,5.0 centimetre
50721,28.5 inch
50722,7.0 inch
50723,27.0 millimetre
50724,10.0 millimetre
50725,35.0 centimetre
50726,35.0 centimetre
50727,35.0 centimetre
50728,23.0 centimetre
50729,9.0 centimetre
50730,56.0 millimetre
50731,102.0 pound
50732,19.6 inch
50733,3.7 inch
50734,34.0 centimetre
50735,50.0 centimetre
50736,35.0 centimetre
50737,8.0 centimetre
50738,8.0 centimetre
50739,4.5 centimetre
50740,180.0 millimetre
50741,1450.0 millimetre
50742,7.5 foot
50743,7.5 foot
50744,7.5 foot
50745,15.5 centimetre
50746,15.5 centimetre
50747,5.0 centimetre
50748,63.0 centimetre
50749,60.0 centimetre
50750,24.0 inch
50751,0.32 ounce
50752,9.0 centimetre
50753,9.0 centimetre
50754,9.0 centimetre
50755,121.0 centimetre
50756,3.0 inch
50757,17.7 inch
50758,14.9 inch
50759,16.7 inch
50760,16.7 inch
50761,120.0 centimetre
50762,120.0 centimetre
50763,4.0 watt
50764,48.0 volt
50765,34.25 inch
50766,33.5 inch
50767,105.0 millimetre
50768,8.75 inch
50769,1.5 inch
50770,15.0 inch
50771,7.0 centimetre
50772,2.5 inch
50773,2.5 inch
50774,72.0 centimetre
50775,15 kilogram
50776,29.5 inch
50777,75.0 centimetre
50778,90.0 centimetre
50779,100.0 gram
50780,298.0 gram
50781,120.0 millimetre
50782,120.0 millimetre
50783,32.0 gram
50784,9.25 inch
50785,50.0 centimetre
50786,14.0 centimetre
50787,97.5 centimetre
50788,66.8 centimetre
50789,97.5 centimetre
50790,180 pound
50791,19.0 gram
50792,6.69 inch
50793,6.69 inch
50794,6.69 inch
50795,6.3 centimetre
50796,75.0 centimetre
50797,31.3 inch
50798,22.0 gram
50799,4000.0 watt
50800,3.7 volt
50801,1.5 inch
50802,3.5 inch
50803,15.75 inch
50804,600.0 millimetre
50805,300.0 centimetre
50806,28.0 centimetre
50807,7.0 centimetre
50808,33.0 inch
50809,150.0 centimetre
50810,15.0 centimetre
50811,270.0 centimetre
50812,235.0 centimetre
50813,62.0 centimetre
50814,62.0 centimetre
50815,18.0 centimetre
50816,6.0 centimetre
50817,6.0 centimetre
50818,32.0 millimetre
50819,32.0 millimetre
50820,6.9 inch
50821,30.0 inch
50822,9.5 centimetre
50823,2.1 inch
50824,4.5 inch
50825,32.0 centimetre
50826,49.6 centimetre
50827,32.0 centimetre
50828,12.0 centimetre
50829,3.0 metre
50830,3.0 metre
50831,100.0 centimetre
50832,20.0 centimetre
50833,34.0 centimetre
50834,11.0 centimetre
50835,130.0 centimetre
50836,10.0 millimetre
50837,15.5 millimetre
50838,6.25 inch
50839,3.07 inch
50840,8.7 centimetre
50841,8.7 centimetre
50842,10.3 centimetre
50843,2.2 centimetre
50844,2.2 centimetre
50845,90.0 centimetre
50846,33.0 centimetre
50847,90.0 centimetre
50848,5.0 gram
50849,50.0 millimetre
50850,10.0 millimetre
50851,25.0 centimetre
50852,25.0 centimetre
50853,36.0 inch
50854,36.0 inch
50855,5.5 inch
50856,9.6 pound
50857,100 gram
50858,10.0 volt
50859,10.0 watt
50860,95.0 centimetre
50861,95.0 centimetre
50862,95.0 centimetre
50863,300 pound
50864,11.5 centimetre
50865,16.0 centimetre
50866,13.5 inch
50867,13.5 inch
50868,18.0 inch
50869,800.0 pound
50870,53.0 millimetre
50871,5.9 inch
50872,15.0 centimetre
50873,40.0 pound
50874,455.0 millimetre
50875,455.0 millimetre
50876,36.25 inch
50877,46.0 centimetre
50878,7.86 inch
50879,7.86 inch
50880,11.0 centimetre
50881,11.0 centimetre
50882,11.0 centimetre
50883,15.0 centimetre
50884,3.5 inch
50885,12.0 volt
50886,108.0 gram
50887,15.0 watt
50888,24.0 centimetre
50889,1.41 ounce
50890,3.75 centimetre
50891,3.75 centimetre
50892,3.75 centimetre
50893,9.0 gram
50894,500.0 watt
50895,120.0 volt
50896,176.0 watt
50897,176.0 ton
50898,45.0 centimetre
50899,17.7 inch
50900,11.02 inch
50901,28.0 centimetre
50902,11.5 kilogram
50903,11.5 kilogram
50904,5.1 inch
50905,5.1 inch
50906,14.0 centimetre
50907,30.0 centimetre
50908,70.0 inch
50909,72.0 inch
50910,95.0 centimetre
50911,5.6 centimetre
50912,270.0 millimetre
50913,270.0 millimetre
50914,140.0 millimetre
50915,24.0 pound
50916,38.0 millimetre
50917,38.0 millimetre
50918,4.0 inch
50919,4.0 inch
50920,191.0 centimetre
50921,10.4 centimetre
50922,50.0 centimetre
50923,110.0 centimetre
50924,5.0 centimetre
50925,11.0 inch
50926,89.0 inch
50927,35.0 millimetre
50928,35.0 millimetre
50929,35.0 millimetre
50930,16.0 inch
50931,7.87 inch
50932,7.09 inch
50933,73.0 centimetre
50934,11.8 inch
50935,8.2 inch
50936,170.0 centimetre
50937,23.0 centimetre
50938,36.0 centimetre
50939,100.0 millimetre
50940,1.0 litre
50941,2.5 inch
50942,21.0 centimetre
50943,141.0 gram
50944,190.0 millimetre
50945,9.0 centimetre
50946,15.0 centimetre
50947,15.0 centimetre
50948,330.0 pound
50949,3.0 centimetre
50950,3.0 centimetre
50951,5.0 volt
50952,180.0 volt
50953,54.0 millimetre
50954,480.0 gram
50955,75.0 millimetre
50956,7.0 inch
50957,7.0 inch
50958,11.0 centimetre
50959,454.0 kilogram
50960,2.8 inch
50961,110.5 gram
50962,8.0 inch
50963,5.25 inch
50964,128.0 millimetre
50965,110.0 pound
50966,23.5 centimetre
50967,29.0 centimetre
50968,27.0 gram
50969,6.0 inch
50970,1.4 inch
50971,1.3 watt
50972,12.0 volt
50973,27.0 centimetre
50974,45.0 centimetre
50975,69.7 inch
50976,638.0 gram
50977,2.0 gram
