index,prediction
90901,11.0 centimetre
90902,28.0 centimetre
90903,28.0 centimetre
90904,83.9 inch
90905,8.0 centimetre
90906,8.0 centimetre
90907,11.5 centimetre
90908,148.0 centimetre
90909,148.0 centimetre
90910,9.8 foot
90911,8.3 inch
90912,8.3 inch
90913,9.0 centimetre
90914,9.0 centimetre
90915,9.0 centimetre
90916,22.3 centimetre
90917,9.0 centimetre
90918,108.0 inch
90919,54.0 inch
90920,8.0 inch
90921,230.0 millimetre
90922,230.0 millimetre
90923,3.5 inch
90924,160.0 centimetre
90925,160.0 centimetre
90926,160.0 centimetre
90927,7.0 centimetre
90928,1.57 inch
90929,75.0 inch
90930,75.0 inch
90931,75.0 inch
90932,3.3 foot
90933,8.7 inch
90934,17.0 centimetre
90935,17.0 centimetre
90936,0.4 fluid ounce
90937,12.0 fluid ounce
90938,8.5 centimetre
90939,14.5 centimetre
90940,14.5 centimetre
90941,19.5 centimetre
90942,40.0 centimetre
90943,120.0 centimetre
90944,140.0 gram
90945,35.0 centimetre
90946,3.0 pound
90947,3.0 volt
90948,70.0 millimetre
90949,70.0 millimetre
90950,50.0 millimetre
90951,75.0 millimetre
90952,188.0 millimetre
90953,188.0 millimetre
90954,18.5 inch
90955,25.5 centimetre
90956,25.5 centimetre
90957,27.6 inch
90958,27.6 inch
90959,10.3 inch
90960,15.0 centimetre
90961,3.9 inch
90962,9.0 centimetre
90963,7.0 centimetre
90964,18.625 inch
90965,7.0 centimetre
90966,33.0 inch
90967,78.0 inch
90968,182.0 centimetre
90969,5.0 foot
90970,10.0 foot
90971,48.0 millimetre
90972,16.3 inch
90973,16.3 inch
90974,3.38 inch
90975,3.38 inch
90976,5.08 inch
90977,14.7 centimetre
90978,9.2 inch
90979,60.0 millimetre
90980,16.9 inch
90981,16.9 inch
90982,11.4 inch
90983,854.0 millimetre
90984,80.0 centimetre
90985,28.0 centimetre
90986,984.0 gram
90987,34.0 millimetre
90988,8.0 centimetre
90989,8.0 centimetre
90990,8.0 centimetre
90991,8.0 inch
90992,150.0 centimetre
90993,80.0 centimetre
90994,5.7 inch
90995,8.25 inch
90996,10.63 inch
90997,88.0 millimetre
90998,0.5 inch
90999,48.0 centimetre
91000,80.0 gram
91001,3.34 inch
91002,14.0 centimetre
91003,8.6 centimetre
91004,8.6 centimetre
91005,15.7 centimetre
91006,60.0 centimetre
91007,180.0 centimetre
91008,585.0 millimetre
91009,20.0 millimetre
91010,13.0 inch
91011,40.0 centimetre
91012,30.0 centimetre
91013,140.0 milligram
91014,6.1 inch
91015,14.5 inch
91016,12.5 centimetre
91017,4.9 inch
91018,6.8 inch
91019,8.4 centimetre
91020,8.4 centimetre
91021,44.3 centimetre
91022,15.8 centimetre
91023,8.7 inch
91024,63.0 inch
91025,130.0 millimetre
91026,5.1 inch
91027,5.1 inch
91028,5.9 inch
91029,6.6 inch
91030,17.0 centimetre
91031,13.0 inch
91032,24.09 inch
91033,200.0 centimetre
91034,5.0 centimetre
91035,18.0 volt
91036,18.0 gram
91037,118.0 centimetre
91038,5.5 inch
91039,52.0 centimetre
91040,52.0 centimetre
91041,52.0 centimetre
91042,65.0 millimetre
91043,40.0 millimetre
91044,40.0 millimetre
91045,16.5 inch
91046,11.5 centimetre
91047,11.5 centimetre
91048,8.7 inch
91049,16.3 inch
91050,6.1 inch
91051,24.0 inch
91052,11.0 inch
91053,15.5 inch
91054,15.5 inch
91055,150.0 millimetre
91056,150.0 millimetre
91057,150.0 millimetre
91058,16.0 inch
91059,4.06 inch
91060,5.67 inch
91061,14.0 centimetre
91062,16.0 centimetre
91063,10.0 centimetre
91064,10.0 centimetre
91065,4.3 centimetre
91066,4.3 centimetre
91067,51.0 foot
91068,51.0 foot
91069,6.0 foot
91070,8.4 inch
91071,3.3 inch
91072,30.0 centimetre
91073,0.83 pound
91074,90.0 centimetre
91075,130.0 centimetre
91076,17.0 centimetre
91077,55.0 inch
91078,4.0 inch
91079,5.0 inch
91080,5.0 inch
91081,21.0 centimetre
91082,100.0 millimetre
91083,28.8 centimetre
91084,125.0 centimetre
91085,72.0 inch
91086,6.0 foot
91087,0.35 kilogram
91088,15.8 inch
91089,15.0 centimetre
91090,6.0 centimetre
91091,4.48 inch
91092,14.0 centimetre
91093,300.0 centimetre
91094,300.0 centimetre
91095,120.0 millimetre
91096,5.91 inch
91097,4.3 centimetre
91098,4.3 centimetre
91099,4.3 centimetre
91100,410.0 millimetre
91101,150.0 millimetre
91102,13.5 centimetre
91103,13.0 centimetre
91104,14.0 centimetre
91105,15.0 centimetre
91106,96.0 centimetre
91107,93.0 centimetre
91108,103.0 centimetre
91109,86.0 centimetre
91110,24.0 inch
91111,6.0 inch
91112,18.0 centimetre
91113,18.0 centimetre
91114,70.0 centimetre
91115,14.0 ounce
