index,prediction
101001,23.0 inch
101002,15.75 inch
101003,110.0 pound
101004,6.68 inch
101005,10.2 inch
101006,5.5 centimetre
101007,5.5 centimetre
101008,7.0 centimetre
101009,13.0 centimetre
101010,6.2 inch
101011,4.8 inch
101012,3.0 inch
101013,6.5 centimetre
101014,151.0 centimetre
101015,11.5 centimetre
101016,11.5 centimetre
101017,18.5 centimetre
101018,22.5 centimetre
101019,6.0 centimetre
101020,15.7 inch
101021,11.0 centimetre
101022,87.0 millimetre
101023,2.65 pound
101024,5.1 gram
101025,50.0 centimetre
101026,7.0 millimetre
101027,7.0 millimetre
101028,7.0 millimetre
101029,11.0 inch
101030,8.5 inch
101031,180.0 millimetre
101032,10.0 millimetre
101033,7.5 inch
101034,7.5 inch
101035,5.1 inch
101036,24.5 centimetre
101037,9.0 centimetre
101038,130.0 centimetre
101039,1.2 pound
101040,59.0 millimetre
101041,85.0 millimetre
101042,7.5 inch
101043,45.0 centimetre
101044,17.0 inch
101045,45.0 inch
101046,4.5 inch
101047,4.5 inch
101048,6.7 inch
101049,3.5 inch
101050,6.7 inch
101051,1.38 pound
101052,200.0 centimetre
101053,9.0 centimetre
101054,9.0 centimetre
101055,5.1 inch
101056,2.38 inch
101057,27.0 centimetre
101058,19.0 centimetre
101059,20.0 centimetre
101060,56.0 centimetre
101061,12.2 inch
101062,18.5 centimetre
101063,18.5 centimetre
101064,13.4 inch
101065,38.0 millimetre
101066,50.0 millimetre
101067,19.0 watt
101068,12.0 volt
101069,150.0 centimetre
101070,275.0 centimetre
101071,24.5 centimetre
101072,58.3 inch
101073,47.0 inch
101074,8.5 centimetre
101075,21.0 centimetre
101076,50.4 inch
101077,15.0 inch
101078,12.0 inch
101079,15.0 inch
101080,21.5 centimetre
101081,21.5 centimetre
101082,245.0 millimetre
101083,100.0 millimetre
101084,19.0 centimetre
101085,19.0 centimetre
101086,5.1 inch
101087,20.0 inch
101088,20.0 inch
101089,18.7 centimetre
101090,18.7 centimetre
101091,5.8 centimetre
101092,14.0 inch
101093,11.0 inch
101094,14.0 inch
101095,22.0 centimetre
101096,22.0 centimetre
101097,22.0 centimetre
101098,27.0 inch
101099,23.8 inch
101100,16.0 inch
101101,16.0 inch
101102,44.4 centimetre
101103,78.0 centimetre
101104,11.9 inch
101105,1.8 inch
101106,38.0 inch
101107,38.0 inch
101108,38.0 inch
101109,11.5 inch
101110,35.0 centimetre
101111,35.0 centimetre
101112,35.0 centimetre
101113,9.5 centimetre
101114,43.0 centimetre
101115,82.0 millimetre
101116,9.8 inch
101117,92.0 centimetre
101118,24.0 inch
101119,35.6 inch
101120,107.0 watt
101121,110.0 volt
101122,40.0 centimetre
101123,40.0 centimetre
101124,45.0 centimetre
101125,1.51 inch
101126,1.51 inch
101127,36.0 millimetre
101128,40.0 centimetre
101129,82.0 centimetre
101130,30.0 centimetre
101131,30.0 centimetre
101132,77.5 centimetre
101133,84.0 inch
101134,22.3 inch
101135,30.0 centimetre
101136,5.0 centimetre
