index,prediction
85851,70.0 centimetre
85852,30.0 centimetre
85853,30.0 centimetre
85854,52.8 centimetre
85855,8.25 inch
85856,5.5 inch
85857,18.0 inch
85858,6.0 inch
85859,60.0 centimetre
85860,25.0 centimetre
85861,32.5 centimetre
85862,11.0 centimetre
85863,1.0 centimetre
85864,1.0 centimetre
85865,64.5 inch
85866,17.0 inch
85867,14.9 inch
85868,15.0 centimetre
85869,180.0 millimetre
85870,15.5 centimetre
85871,7.94 inch
85872,4.76 inch
85873,22.0 centimetre
85874,3.0 metre
85875,2.5 metre
85876,3.0 metre
85877,4.0 inch
85878,12.7 centimetre
85879,90.0 centimetre
85880,90.0 centimetre
85881,142.0 millimetre
85882,91.0 centimetre
85883,5.0 centimetre
85884,52.0 millimetre
85885,52.0 millimetre
85886,52.0 millimetre
85887,4.0 centimetre
85888,7.0 centimetre
85889,7.0 centimetre
85890,8.8 centimetre
85891,17.0 centimetre
85892,43.31 inch
85893,750.0 millimetre
85894,150.0 pound
85895,300.0 millimetre
85896,580.0 millimetre
85897,15.0 centimetre
85898,15.0 centimetre
85899,15.0 centimetre
85900,57.0 inch
85901,25.0 centimetre
85902,14.0 millimetre
85903,38.0 millimetre
85904,3.43 inch
85905,100.0 centimetre
85906,100.0 centimetre
85907,46.0 inch
85908,86.0 centimetre
85909,56.0 centimetre
85910,11.0 inch
85911,27.0 inch
85912,0.4 inch
85913,15.5 centimetre
85914,15.5 centimetre
85915,8.0 centimetre
85916,16.0 kilowatt hour
85917,16.0 volt
85918,33.5 pound
85919,50.0 centimetre
85920,120.0 gram
85921,100 gram
85922,20.0 centimetre
85923,18.5 inch
85924,18.5 inch
85925,5.0 inch
85926,15.0 centimetre
85927,6.8 centimetre
85928,25.0 inch
85929,9.0 inch
85930,9.0 inch
85931,820.0 millimetre
85932,53.0 millimetre
85933,500.0 pound
85934,27.6 inch
85935,10.83 inch
85936,6.2 inch
85937,7.5 inch
85938,7.5 inch
85939,80.0 millimetre
85940,275.0 millimetre
85941,18.9 millimetre
85942,10.7 centimetre
85943,195.0 millimetre
85944,6.4 centimetre
85945,11.0 centimetre
85946,44.0 inch
85947,44.0 inch
85948,1.69 fluid ounce
85949,8.6 inch
85950,6.69 inch
85951,9.0 centimetre
85952,24.0 inch
85953,24.0 inch
85954,21.0 millimetre
85955,21.0 millimetre
85956,4.52 inch
85957,4.52 inch
85958,9.4 centimetre
85959,9.4 centimetre
85960,11.5 centimetre
85961,22.5 centimetre
85962,12.0 inch
85963,10.5 inch
85964,12.0 inch
85965,5.12 inch
85966,74.5 centimetre
85967,152.0 centimetre
85968,4.0 inch
85969,53.0 centimetre
85970,127.0 inch
85971,17.0 inch
85972,16.0 centimetre
85973,4.0 pound
85974,25.0 centimetre
85975,14.0 inch
85976,50.0 pound
85977,3.0 pound
85978,10.0 metre
85979,5.4 centimetre
